time,open,high,low,close,tick_volume,spread,real_volume
1737703140,1.04479,1.04486,1.04478,1.04485,23,4,0
1737703200,1.04488,1.04493,1.04487,1.0449,14,4,0
1737703260,1.04488,1.04494,1.04487,1.04494,19,4,0
1737703320,1.04494,1.04503,1.04491,1.04495,26,4,0
1737703380,1.04495,1.04495,1.04482,1.04483,8,4,0
1737703440,1.04482,1.0449,1.04475,1.04476,19,4,0
1737703500,1.04476,1.04485,1.04475,1.04478,24,4,0
1737703560,1.04478,1.04482,1.04477,1.04478,22,4,0
1737703620,1.04478,1.04485,1.04478,1.04483,12,4,0
1737703680,1.04482,1.04482,1.04465,1.0447,15,4,0
1737703740,1.0447,1.0447,1.04458,1.04458,17,4,0
1737703800,1.04457,1.04457,1.04437,1.04444,26,4,0
1737703860,1.04443,1.04463,1.04443,1.04453,16,4,0
1737703920,1.04452,1.04459,1.04452,1.04453,18,4,0
1737703980,1.04453,1.04453,1.04452,1.04453,3,4,0
1737704040,1.04456,1.04458,1.04452,1.04452,11,4,0
1737704100,1.04452,1.04453,1.04446,1.0445,13,4,0
1737704160,1.0445,1.04462,1.0445,1.04459,10,4,0
1737704220,1.04458,1.04459,1.04452,1.04453,12,4,0
1737704280,1.04452,1.04457,1.04442,1.04457,22,4,0
1737704340,1.04456,1.0446,1.04455,1.04458,19,4,0
1737704400,1.04457,1.0446,1.04455,1.0446,17,4,0
1737704460,1.04459,1.0446,1.04457,1.04457,12,4,0
1737704520,1.04454,1.0446,1.04454,1.04459,11,4,0
1737704580,1.04458,1.04483,1.04458,1.04473,27,4,0
1737704640,1.04473,1.04483,1.04473,1.04473,22,4,0
1737704700,1.04473,1.04474,1.04468,1.04474,15,4,0
1737704760,1.04475,1.04483,1.04473,1.04482,12,4,0
1737704820,1.04483,1.04483,1.04477,1.04477,15,4,0
1737704880,1.04477,1.04484,1.04477,1.04478,20,4,0
1737704940,1.04478,1.04484,1.04477,1.04479,20,4,0
1737705000,1.04479,1.0448,1.04465,1.04465,15,4,0
1737705060,1.04469,1.0448,1.04468,1.04478,17,4,0
1737705120,1.04478,1.04501,1.04478,1.04501,14,3,0
1737705180,1.04501,1.04504,1.04494,1.04495,30,5,0
1737705240,1.04494,1.04494,1.04472,1.04474,24,5,0
1737705300,1.04474,1.0448,1.04473,1.04479,22,5,0
1737705360,1.04477,1.04478,1.04472,1.04476,28,4,0
1737705420,1.04474,1.0448,1.04468,1.0448,23,4,0
1737705480,1.0448,1.04487,1.04477,1.04487,25,5,0
1737705540,1.04487,1.04512,1.04487,1.0451,27,5,0
1737705600,1.04512,1.04516,1.04492,1.04492,38,5,0
1737705660,1.04492,1.04521,1.04492,1.04516,30,5,0
1737705720,1.04516,1.04519,1.04509,1.04509,30,5,0
1737705780,1.04512,1.04519,1.04506,1.04519,28,5,0
1737705840,1.0452,1.0452,1.04504,1.04509,28,5,0
1737705900,1.04508,1.04522,1.04508,1.04522,26,5,0
1737705960,1.04521,1.04522,1.04511,1.04518,21,5,0
1737706020,1.04518,1.04535,1.04518,1.04533,13,5,0
1737706080,1.04532,1.04532,1.04517,1.04524,24,5,0
1737706140,1.04526,1.04531,1.04521,1.04528,26,5,0
1737706200,1.04527,1.04531,1.04521,1.04525,27,5,0
1737706260,1.04524,1.04531,1.0452,1.04527,20,5,0
1737706320,1.04527,1.04542,1.04527,1.04542,32,5,0
1737706380,1.04538,1.0454,1.04522,1.04524,38,4,0
1737706440,1.04524,1.04529,1.04522,1.04524,26,4,0
1737706500,1.04524,1.04537,1.04514,1.04536,34,4,0
1737706560,1.04533,1.0454,1.04532,1.04534,26,4,0
1737706620,1.04534,1.04539,1.04532,1.04539,25,4,0
1737706680,1.04537,1.04547,1.04535,1.04547,18,4,0
1737706740,1.04546,1.04563,1.04546,1.04562,27,4,0
1737706800,1.04562,1.04564,1.04554,1.0456,20,4,0
1737706860,1.04564,1.04581,1.04557,1.04576,37,4,0
