time,open,high,low,close,tick_volume,spread,real_volume
1732705200,1.4057,1.40597,1.4056899999999999,1.40597,38,6,0
1732705260,1.40592,1.40612,1.40588,1.40599,41,6,0
1732705320,1.40599,1.40603,1.40567,1.4056899999999999,46,5,0
1732705380,1.40571,1.40574,1.40557,1.40563,43,6,0
1732705440,1.40565,1.4056600000000001,1.40553,1.40558,45,6,0
1732705500,1.40556,1.4056199999999999,1.40551,1.40558,40,6,0
1732705560,1.40557,1.40567,1.40552,1.40567,29,6,0
1732705620,1.40568,1.40573,1.40564,1.40565,40,6,0
1732705680,1.4056600000000001,1.4059599999999999,1.40563,1.4058899999999999,47,6,0
1732705740,1.4059,1.4059,1.40575,1.40585,29,6,0
1732705800,1.40585,1.40585,1.4056600000000001,1.40577,39,6,0
1732705860,1.40578,1.40578,1.4056199999999999,1.40565,33,6,0
1732705920,1.40565,1.40565,1.4055,1.40561,42,6,0
1732705980,1.4056199999999999,1.40571,1.40552,1.40555,34,6,0
1732706040,1.40553,1.4055900000000001,1.40543,1.40552,41,6,0
1732706100,1.40552,1.40552,1.4054,1.40546,34,6,0
1732706160,1.40545,1.40555,1.40541,1.40542,35,6,0
1732706220,1.40538,1.40546,1.40534,1.40545,35,6,0
1732706280,1.40542,1.40545,1.40529,1.40536,42,6,0
1732706340,1.40539,1.4055900000000001,1.40539,1.4055900000000001,38,6,0
1732706400,1.4055900000000001,1.40565,1.40555,1.4056,40,6,0
1732706460,1.4055900000000001,1.4056,1.40554,1.40555,31,6,0
1732706520,1.40553,1.40554,1.40539,1.40543,37,6,0
1732706580,1.40544,1.4055900000000001,1.40541,1.40552,37,6,0
1732706640,1.40553,1.40571,1.4055,1.40567,37,6,0
1732706700,1.40568,1.40568,1.40556,1.40557,34,6,0
1732706760,1.40558,1.40568,1.40558,1.4056600000000001,23,6,0
1732706820,1.40565,1.4056600000000001,1.4056199999999999,1.4056199999999999,19,6,0
1732706880,1.40563,1.40573,1.40563,1.40568,19,6,0
1732706940,1.4056600000000001,1.40568,1.40554,1.40555,26,6,0
1732707000,1.40557,1.4056600000000001,1.40553,1.40557,21,6,0
1732707060,1.40558,1.40583,1.40558,1.40583,22,6,0
1732707120,1.40582,1.4059,1.40539,1.40541,42,6,0
1732707180,1.4054,1.40548,1.40537,1.40538,30,6,0
1732707240,1.40533,1.40533,1.40517,1.40526,35,6,0
1732707300,1.40525,1.40525,1.4050799999999999,1.40516,43,6,0
1732707360,1.40517,1.40529,1.40514,1.40524,34,6,0
1732707420,1.40523,1.40523,1.4050099999999999,1.4050099999999999,33,6,0
1732707480,1.4050099999999999,1.4050099999999999,1.40494,1.40496,35,6,0
1732707540,1.40497,1.40509,1.40496,1.4050099999999999,23,6,0
1732707600,1.40502,1.4050500000000001,1.40495,1.405,28,6,0
1732707660,1.40502,1.40511,1.40497,1.40499,27,6,0
1732707720,1.40499,1.40522,1.4049800000000001,1.40519,32,6,0
1732707780,1.40518,1.40523,1.40518,1.40519,21,6,0
1732707840,1.40518,1.4052799999999999,1.40514,1.40526,24,6,0
1732707900,1.40526,1.40527,1.4052,1.40527,26,6,0
1732707960,1.40526,1.40526,1.4050500000000001,1.40506,20,6,0
1732708020,1.40507,1.40507,1.40494,1.40497,27,6,0
1732708080,1.4049800000000001,1.40504,1.40486,1.40488,26,6,0
1732708140,1.40489,1.40495,1.40485,1.40489,32,6,0
1732708200,1.40489,1.40489,1.4047100000000001,1.40475,27,6,0
1732708260,1.40476,1.40492,1.40475,1.40489,28,6,0
1732708320,1.4049,1.4049,1.40478,1.4048,25,6,0
1732708380,1.4048,1.40481,1.40475,1.40479,28,6,0
1732708440,1.40476,1.40479,1.4047,1.40478,30,6,0
1732708500,1.40478,1.40485,1.40475,1.40478,38,6,0
1732708560,1.40478,1.40482,1.4047399999999999,1.40481,20,6,0
1732708620,1.40482,1.40488,1.40481,1.40488,24,6,0
1732708680,1.40488,1.40502,1.40488,1.40494,35,6,0
1732708740,1.40495,1.4049800000000001,1.40491,1.40491,26,6,0
1732708800,1.40493,1.4050500000000001,1.40493,1.4050099999999999,36,6,0
1732708860,1.4050099999999999,1.40503,1.40484,1.40491,42,6,0
1732708920,1.40491,1.40497,1.40487,1.40488,30,6,0
1732708980,1.40489,1.40496,1.40478,1.40481,29,6,0
1732709040,1.40481,1.40489,1.40475,1.40489,29,6,0
1732709100,1.40488,1.40489,1.40483,1.40486,19,6,0
1732709160,1.4048,1.4048,1.4046699999999999,1.40468,15,6,0
1732709220,1.40469,1.40481,1.40463,1.4047399999999999,41,6,0
1732709280,1.4047399999999999,1.4048,1.40472,1.40479,18,6,0
1732709340,1.40476,1.40488,1.40468,1.40482,28,6,0
1732709400,1.40482,1.4049,1.40476,1.40482,32,6,0
1732709460,1.40481,1.40493,1.40481,1.40482,23,6,0
1732709520,1.40481,1.40494,1.40481,1.40494,24,6,0
1732709580,1.40492,1.40493,1.40478,1.40484,40,6,0
1732709640,1.40483,1.40497,1.40483,1.4049,30,6,0
1732709700,1.40491,1.40495,1.4049,1.40493,19,6,0
1732709760,1.40493,1.40497,1.40482,1.40492,25,6,0
1732709820,1.40492,1.40499,1.40489,1.40499,32,6,0
1732709880,1.4049800000000001,1.40506,1.40495,1.4050500000000001,24,6,0
1732709940,1.4050500000000001,1.40509,1.40503,1.40509,21,6,0
1732710000,1.40507,1.4051,1.40504,1.40509,17,6,0
1732710060,1.40506,1.40511,1.40504,1.40504,22,6,0
1732710120,1.40506,1.4055,1.40506,1.4055,32,6,0
1732710180,1.40551,1.40558,1.40525,1.40525,32,6,0
1732710240,1.40525,1.40538,1.40525,1.40526,19,6,0
1732710300,1.40524,1.4053,1.40517,1.40518,25,6,0
1732710360,1.40519,1.40537,1.40516,1.40524,29,6,0
1732710420,1.40525,1.40525,1.40504,1.40514,34,6,0
1732710480,1.40514,1.40519,1.40512,1.40512,26,6,0
1732710540,1.40509,1.40513,1.40506,1.40509,25,6,0
1732710600,1.40507,1.40522,1.40507,1.4050799999999999,32,6,0
1732710660,1.40509,1.4051,1.40494,1.40497,22,6,0
1732710720,1.4049800000000001,1.40512,1.40496,1.40507,20,6,0
1732710780,1.4050799999999999,1.40533,1.40506,1.40529,28,6,0
1732710840,1.4052799999999999,1.40531,1.40515,1.40524,33,6,0
1732710900,1.40523,1.40527,1.4052,1.40521,21,6,0
1732710960,1.4052,1.40533,1.40518,1.4052799999999999,28,6,0
1732711020,1.40527,1.40529,1.40521,1.40522,20,6,0
1732711080,1.40522,1.40531,1.40521,1.40529,24,6,0
1732711140,1.40529,1.4053,1.40525,1.40529,13,6,0
1732711200,1.40529,1.40531,1.40511,1.40513,25,6,0
1732711260,1.40513,1.4052,1.40513,1.40517,20,6,0
1732711320,1.40518,1.40518,1.40507,1.40507,18,6,0
1732711380,1.40507,1.40519,1.40507,1.40518,24,6,0
1732711440,1.40517,1.40523,1.40513,1.40513,18,6,0
1732711500,1.40514,1.4052,1.40507,1.40507,28,6,0
1732711560,1.40506,1.40519,1.40504,1.40518,20,6,0
1732711620,1.40518,1.40518,1.40482,1.40487,39,6,0
1732711680,1.40487,1.40513,1.40487,1.4050799999999999,26,6,0
1732711740,1.40509,1.4052,1.40509,1.40515,24,6,0
1732711800,1.40515,1.40516,1.40511,1.40514,19,6,0
1732711860,1.40514,1.40519,1.40513,1.40514,15,6,0
1732711920,1.40515,1.4052799999999999,1.40515,1.4052799999999999,14,6,0
1732711980,1.40527,1.4053,1.40523,1.40524,23,6,0
1732712040,1.40524,1.40525,1.40504,1.40504,29,6,0
1732712100,1.40502,1.40504,1.40496,1.40499,29,6,0
1732712160,1.40499,1.4050799999999999,1.40495,1.40503,25,6,0
1732712220,1.40503,1.40503,1.40489,1.40494,24,6,0
1732712280,1.40492,1.40493,1.40476,1.40478,28,6,0
1732712340,1.40477,1.4049,1.40476,1.40489,36,6,0
1732712400,1.4049,1.40499,1.40488,1.40491,20,6,0
1732712460,1.4049,1.40495,1.40489,1.40491,27,6,0
